 >> TARTAROS @ 17-Dec-2023 12:20:34 <<

   1: Black Soul Choir | 16 Horsepower
  96: My Heart Will Go On - Love Theme from "Titanic" | Céline Dion
  97: Buon Viaggio (Share The Love) | Cesare Cremonini
  98: Raining Patterns | CFCF
  99: Surrender | Cheap Trick
 100: Christian - Extended Mix | China Crisis
 101: I've got that tune | Chinese Man
 102: F**K All the Perfect People | Chip Taylor, The New Ukrainians
 103: On the Radio (Music from the Netflix Original Series Sex Education) | Chip Taylor
 104: Lady Marmalade - From "Moulin Rouge" Soundtrack | Christina Aguilera, Lil' Kim, Mýa, P!nk
 105: Endless Love Suite | Christophe Beck
 106: Ride Like the Wind | Christopher Cross
 107: Tubthumping | Chumbawamba
 108: Aspettando Godot - 2006 Digital Remaster | Claudio Lolli
 109: The Night Café | Clint Mansell
 110: Welcome to Lunar Industries | Clint Mansell
 111: Egomostro | Colapesce
 112: Le cose più rare | Cosmo
 113: Mmm Mmm Mmm Mmm | Crash Test Dummies
 114: Sunshine Of Your Love | Cream
 115: Green River - Remastered 1985 | Creedence Clearwater Revival
 116: Fortunate Son | Creedence Clearwater Revival
 117: Forma E Sostanza | C.S.I.
 118: Karma Chameleon | Culture Club
 119: Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers] | Daft Punk, Pharrell Williams, Nile Rodgers
 120: Take a Sec | Daisy Godfrey
 121: Tutti matti | Daniele Silvestri
 122: Meine | Daso
 123: Rebel Rebel - 2016 Remaster | David Bowie
 124: Speed of Life - 2017 Remaster | David Bowie
 125: Holiday in Cambodia | Dead Kennedys
 126: You Spin Me Round (Like a Record) | Dead Or Alive
 127: Soul Meets Body | Death Cab for Cutie
 128: Contessa | Decibel
 129: Child in Time - 1995 Remaster | Deep Purple
 130: Photograph | Def Leppard
 131: My Own Summer (Shove It) | Deftones
 132: Mind Your Own Business | Delta 5
 133: A Question of Time | Depeche Mode
 134: Dreaming of Me | Depeche Mode
 135: Dream On | Depeche Mode
 136: Everything Counts | Depeche Mode
 137: I Feel You | Depeche Mode
 138: Photographic - Some Bizzare Version | Depeche Mode
 139: Walking in My Shoes | Depeche Mode
 140: Have You Ever Loved A Woman? | Derek & The Dominos
 141: Siberia | Diaframma
 142: Misirlou | Dick Dale & His Del-Tones
 143: Six Days | DJ Shadow
 144: Hurdy Gurdy Man | Donovan
 145: Lonely Boys Paradise | DOPE LEMON
 146: Where Is It You Go | DOPE LEMON
 147: Broken Coastline | Down Like Silver, Peter Bradley Adams, Caitlin Canty
 148: Mercy | Duffy
 149: Ordinary World | Duran Duran
 150: Una settimana...un giorno... | Edoardo Bennato
 151: Home | Edward Sharpe & The Magnetic Zeros
 152: I Don't Wanna Pray | Edward Sharpe & The Magnetic Zeros
 153: Cara Ti Amo - Live | Elio e le Storie Tese
 154: Giuda | Eman
 155: Mosh | Eminem
 156: The Real Slim Shady | Eminem
 157: Contessa | Enrico Ruggeri
 158: Quelli che - Live | Enzo Jannacci
 159: Dormo Poco e Sogno Molto | España Circo Este
 160: Lettera Al Prossimo | Eugenio In Via Di Gioia
 161: Body Was Made | Ezra Furman
 162: Love You So Bad | Ezra Furman
 163: Il testimone invisibile | Fabio Barovero
 164: Rosalina | Fabio Concato
 165: Andiamo A Comandare | Fabio Rovazzi
 166: Tutto Molto Interessante | Fabio Rovazzi
 167: Volare | Fabio Rovazzi, Gianni Morandi
 168: Capelli / L'Y-10 Bordeaux / L'Amore Pensato - Il Padrone Della Festa / Live | Niccolò Fabi, Daniele Silvestri, Max Gazzè
 169: L'amore non esiste | Niccolò Fabi, Daniele Silvestri, Max Gazzè
 170: Amico fragile | Fabrizio De André
 171: Andrea/Tema di Rimini | Fabrizio De André
 172: Carlo Martello ritorno dalla battaglia di Poitiers | Fabrizio De André
 173: Hotel Supramonte | Fabrizio De André
 174: Il bombarolo | Fabrizio De André
 175: Il gorilla | Fabrizio De André
 176: Morire per delle idee | Fabrizio De André
 177: Preghiera in Gennaio | Fabrizio De André
 178: Rimini | Fabrizio De André
 179: Se ti tagliassero a pezzetti | Fabrizio De André
 180: Via del campo | Fabrizio De André
 181: Volta la carta | Fabrizio De André
 182: Ashes to Ashes - 2016 Remaster | Faith No More
 183: Epic | Faith No More
 184: Evidence - 2016 Remaster | Faith No More
 185: Midlife Crisis | Faith No More
 186: La Balbianello - Dosso D'aveto Mix | Finland & Aaskoven
 187: Che Idea | Flaminio Maphia
 188: Ship To Wreck | Florence + The Machine
 189: What Kind Of Man | Florence + The Machine
 190: Best of You | Foo Fighters
 191: Everlong | Foo Fighters
 192: Learn to Fly | Foo Fighters
 193: Addio a Napoli / Ma come fanno i marinai | Francesco De Gregori, Lucio Dalla
 194: Alice | Francesco De Gregori
 195: L'agnello di Dio | Francesco De Gregori
 196: La leva calcistica della classe '68 | Francesco De Gregori
 197: Autogrill - Remastered 2007 | Francesco Guccini
 198: Cirano | Francesco Guccini
 199: Culodritto - Remastered 2007 | Francesco Guccini
 200: Eskimo - Remaster 1996 | Francesco Guccini
 201: Bandiera Bianca - Remastered | Franco Battiato
 202: Gli Uccelli - Remastered | Franco Battiato
 203: La Cura | Franco Battiato
 204: L'Era Del Cinghiale Bianco - 2008 Remaster | Franco Battiato
 205: L'Ombra Della Luce - Remastered | Franco Battiato
 206: Prospettiva Nevski - Remastered 2008 | Franco Battiato
 207: Radio Varsavia - Remastered | Franco Battiato
 208: Rap Lamento | Frankie hi-nrg mc
 209: La Vita Veramente | Fulminacci
 210: A Dream of You and Me | Future Islands
 211: Stupid Girl | Garbage
 212: Rock And Roll Part II | Gary Glitter
 213: Dancing with Myself | Generation X
 214: That's All - Remastered 2007 | Genesis
 215: Breezin' | George Benson
 216: Destinazione Paradiso | Gianluca Grignani
 217: Bello e impossibile | Gianna Nannini
 218: Il dilemma | Giorgio Gaber
 219: Io non mi sento italiano | Giorgio Gaber
 220: L'america | Giorgio Gaber
 221: Mi fa male il mondo (seconda parte) | Giorgio Gaber
 222: Nixon | Giorgio Gaber
 223: Quando è moda è moda | Giorgio Gaber
 224: I Will Survive - Single Version | Gloria Gaynor
 225: Profondo rosso | Goblin
 226: Wonderlust King | Gogol Bordello
 227: Fly Me Away | Goldfrapp
 228: Strict Machine | Goldfrapp
 229: I Just Wanna Live | Good Charlotte
 230: Chalk Tablet Towers (feat. St Vincent) | Gorillaz, St. Vincent
 231: On Melancholy Hill | Gorillaz
 232: Phoner to Arizona | Gorillaz
 233: Love Long Distance | Gossip
 234: Mash Potato | Graham Coxon
 235: She Knows | Graham Coxon
 236: The Message | Grandmaster Flash & The Furious Five
 237: When I Come Around | Green Day
 238: A Leader Always Carries a Stick | Grizzly Bear
 239: Civil War | Guns N' Roses
 240: Don't Cry (Original) | Guns N' Roses
 241: Garden Of Eden | Guns N' Roses
 242: November Rain | Guns N' Roses
 243: Paradise City | Guns N' Roses
 244: Sweet Child O' Mine | Guns N' Roses
 245: Sympathy For The Devil | Guns N' Roses
 246: La canzone del pane | I Camillas
 247: The Passenger | Iggy Pop
 248: La canzone di Tom | Il Teatro Degli Orrori
 249: Please Excuse This Funk Up | Infectious Grooves
 250: Violent & Funky | Infectious Grooves
 251: New Sensation | INXS
 252: Peace Beneath the City | Iron & Wine
 253: Get Up I Feel Like Being A Sex Machine - Pt. 1 / Single Version | James Brown
 254: Get Up Offa That Thing | James Brown
 255: The Boss | James Brown, The J.B.'s
 256: We Don't Eat | James Vincent McMorrow
 257: Castro Dies | Jamie T
 258: Di doo dah | Jane Birkin
 259: Just Because | Jane's Addiction
 260: Stoned Soul | Janice Dempsey, Steve Sechi
 261: Me and Bobby McGee | Janis Joplin
 262: Ghosts - 2003 Digital Remaster | Japan
 263: Nightporter - Remastered 2003 | Japan
 264: Quiet Life | Japan
 265: Visions Of China - 2003 Digital Remaster | Japan
 266: Bonito | Jarabe De Palo
 267: Depende | Jarabe De Palo
 268: Bemidji, MN (Fargo Series Main Theme) | Jeff Russo
 269: Hey Joe | Jimi Hendrix
 270: Red House | Jimi Hendrix
 271: After Midnight | J.J. Cale
 272: Don't Go To Strangers | J.J. Cale
 273: Feelin' Alright | Joe Cocker
 274: Zebra | John Butler Trio
 275: La Mazurka del Misantropo | John De Leo
 276: L'uomo che continua | John De Leo
 277: Vago svanendo (Lasum sté) | John De Leo
 278: Black Belt | John Grant
 279: Imagine - Remastered 2010 | John Lennon
 280: Ring of Fire | Johnny Cash
 281: You're The One That I Want - From “Grease” | John Travolta, Olivia Newton-John
 282: Blaze Of Glory | Jon Bon Jovi
 283: Ciao Mamma - Remastered 2012 | Jovanotti
 284: Piove | Jovanotti, Soleluna NY Lab
 285: Leaders of Men - 2010 Remaster | Joy Division
 286: Everyday I Love You Less And Less | Kaiser Chiefs
 287: Re-Wired | Kasabian
 288: Don't Push Your Foot on the Heartbrake | Kate Bush
 289: The Sensual World | Kate Bush
 290: This Woman's Work | Kate Bush
 291: Wow | Kate Bush
 292: Hot N Cold | Katy Perry
 293: Aicha | Khaled
 294: Eighties | Killing Joke
 295: Love Like Blood | Killing Joke
 296: 21st Century Schizoid Man | King Crimson
 297: Starless | King Crimson
 298: Jungle Boogie | Kool & The Gang
 299: Coming Undone | Korn
 300: Your Ghost | Kristin Hersh
 301: 911 | Lady Gaga
 302: Crispy Bacon | Laurent Garnier
 303: The Man With The Red Face - Video Edit | Laurent Garnier
 304: Again | Lenny Kravitz
 305: Always On The Run | Lenny Kravitz
 306: Fly Away | Lenny Kravitz
 307: Low | Lenny Kravitz
 308: Who by Fire | Leonard Cohen
 309: Ho perso le parole - 2008 Remaster | Ligabue
 310: Il giorno di dolore che uno ha - Versione acustica | Ligabue
 311: Metti in circolo il tuo amore - Versione acustica | Ligabue
 312: Miss Mondo '99 - Versione acustica | Ligabue
 313: Tutti vogliono viaggiare in prima - Versione acustica | Ligabue
 314: Una vita da mediano | Ligabue
 315: Voglio volere - Versione acustica | Ligabue
 316: Easy | Lionel Richie, Willie Nelson
 317: Corri | Litfiba
 318: Fata Morgana | Litfiba
 319: Goccia a goccia | Litfiba
 320: Incantesimo | Litfiba
 321: Mascherina - Remastered 2019 | Litfiba
 322: Regina di cuori | Litfiba
 323: Ritmo | Litfiba
 324: Sexy Dream | Litfiba
 325: Vivere il mio tempo - Remastered 2019 | Litfiba
 326: Cult of Personality | Living Colour
 327: Glamour Boys | Living Colour
 328: Solace of You | Living Colour
 329: Amare inutilmente | Locomotif
 330: Mambo No. 5 (a Little Bit of...) | Lou Bega
 331: Berlin - 1973 Version | Lou Reed
 332: Can't Stop | Luca Stricagnoli
 333: Lose Yourself | Luca Stricagnoli
 334: Seven Nation Army | Luca Stricagnoli
 335: Sweet Home Alabama | Luca Stricagnoli
 336: The Real Slim Shady | Luca Stricagnoli
 337: Thriller | Luca Stricagnoli
 338: With Or Without You | Luca Stricagnoli
 339: Emozioni | Lucio Battisti
 340: Fiori rosa, fiori di pesco | Lucio Battisti
 341: Il tempo di morire | Lucio Battisti
 342: Sì, viaggiare | Lucio Battisti
 343: Un'avventura | Lucio Battisti
 344: Attenti al lupo | Lucio Dalla
 345: Balla balla ballerino | Lucio Dalla
 346: E non andar più via | Lucio Dalla
 347: Meri Luis | Lucio Dalla
 348: Milano | Lucio Dalla
 349: Treno a vela - Remastered | Lucio Dalla
 350: Fly | Ludovico Einaudi
 351: Ballata della moda | Luigi Tenco
 352: Free Bird | Lynyrd Skynyrd
 353: Down the West Side | M+A
 354: When | M+A, Emay
 355: La Javanaise | Madeleine Peyroux
 356: Hollywood | Madonna
 357: Ray of Light | Madonna
 358: Long Gone Day | Mad Season
 359: La rondine | Mango
 360: Me So' Mbriacato | Mannarino
 361: Pas assez de toi | Mano Negra
 362: Senor Matanza | Mano Negra
 363: Nell'aria | Marcella Bella
 364: Teorema | Marco Ferradini
 365: Guilt | Marianne Faithfull
 366: L'amore è finito | Marianne Mirage
 367: The Rythm Is Magic | Marie Claire D'Ubaldo
 368: Veramente | Mario Venuti
 369: Good On You Son | Mark Knopfler
 370: Canzone per un figlio | Marlene Kuntz
 371: She Will Be Loved | Maroon 5
 372: Sunday Morning | Maroon 5
 373: Perché non pesi niente | Marta Sui Tubi
 374: False Flags | Massive Attack
 375: Ritual Spirit | Massive Attack, Azekel
 376: Saturday Come Slow | Massive Attack
 377: Vacanze Romane - 1991 Remaster | Matia Bazar
 378: Il Solito Sesso | Max Gazzè
 379: La Favola Di Adamo Ed Eva | Max Gazzè
 380: La Leggenda Di Cristalda E Pizzomunno | Max Gazzè
 381: Sotto Casa | Max Gazzè
 382: Zeta reticoli | Meganoidi
 383: Never Be The Same Again | Melanie C, Lisa "Left Eye" Lopes
 384: Down Under | Men At Work
 385: Who Can It Be Now? | Men At Work
 386: Bad - 2012 Remaster | Michael Jackson
 387: Billie Jean | Michael Jackson
 388: Thriller | Michael Jackson
 389: Maniac | Michael Sembello
 390: Grace Kelly | MIKA
 391: Tubular Bells - Pt. I | Mike Oldfield
 392: Amampondo | Miriam Makeba
 393: Porcelain | Moby
 394: Run On | Moby
 395: Auschwitz | Modena City Ramblers, Francesco Guccini
 396: Ebano | Modena City Ramblers
 397: Santa Maria Del Pallone | Modena City Ramblers
 398: Bad Kingdom | Moderat
 399: Everloving | Moby
 400: Eating Hooks - Siriusmo Remix - Solomun Edit | Moderat, Siriusmo, Solomun
 401: Hunted by a Freak | Mogwai
 402: Sing It Back - Boris Dlugosch Mix | Moloko, Boris Dlugosch, Michael Lange
 403: Time Is Now | Moloko
 404: Bird's Lament - New Stereo Mix 2019 | Moondog
 405: Invocation | Moondog
 406: Memwa'n | Moonlight Benjamin
 407: Gained The World | Morcheeba
 408: Otherwise | Morcheeba
 409: Bo's Veranda | Morphine
 410: Buena | Morphine
 411: Good | Morphine
 412: The Night [Alternate Version] | Morphine
 413: Girls, Girls, Girls | Mötley Crüe
 414: Home Sweet Home | Mötley Crüe
 415: Misunderstood | Mötley Crüe
 416: Ace of Spades | Motörhead
 417: Hey, Jane | Motorpsycho
 418: Bliss | Muse
 419: Citizen Erased | Muse
 420: New Born | Muse
 421: Supremacy | Muse
 422: Uprising | Muse
 423: Rocket Man | My Morning Jacket
 424: Cambierà | Neffa
 425: Cambio | Negrita
 426: Ho Imparato A Sognare | Negrita
 427: Hollywood | Negrita
 428: Mama Maé | Negrita
 429: Rotolando Verso Sud - Semi-Acoustic | Negrita
 430: I'm Like A Bird | Nelly Furtado
 431: Maneater | Nelly Furtado
 432: Try | Nelly Furtado
 433: ISI | NEU!
 434: True Faith '94 | New Order
 435: You Get What You Give | New Radicals
 436: Someday | Nickelback
 437: Too Bad | Nickelback
 438: I Got Soul | Night Shapers
 439: 50mila | Nina Zilli, Giuliano Palma
 440: Find My Way | Nine Inch Nails
 441: Hurt | Nine Inch Nails
 442: Only | Nine Inch Nails
 443: Together | Nine Inch Nails
 444: Trust Fades | Nine Inch Nails
 445: It's My Life | No Doubt
 446: Flipside | Norah Jones
 447: Sunrise | Norah Jones
 448: Go Let It Out | Oasis
 449: Lyla | Oasis
 450: Here It Goes Again | OK Go
 451: Crazy Train | Ozzy Osbourne
 452: I Don't Want to Change the World | Ozzy Osbourne
 453: Mama, I'm Coming Home | Ozzy Osbourne
 454: M.T.M. | Original Slammer Band
 455: Stato Di Calma Apparente | Paola Turci
 456: Elegia | Paolo Conte
 457: Genova Per Noi | Paolo Conte
 458: Gong-Oh | Paolo Conte
 459: Paso doble | Paolo Conte
 460: Candy | Paolo Nutini
 461: All Night | Parov Stelar
 462: Hell Is For Children | Pat Benatar
 463: Don't let us get sick | Pat Guadagno
 464: People Have the Power | Patti Smith
 465: E dimmi che non vuoi morire | Patty Pravo
 466: Peace Reprise | Paul Kelly
 467: I Am Mine | Pearl Jam
 468: Shock The Monkey | Peter Gabriel
 469: Let My Love Open The Door | Pete Townshend
 470: Freedom | Pharrell Williams
 471: You Can't Hurry Love - 2016 Remaster | Phil Collins
 472: La storia infinita | Pinguini Tattici Nucleari
 473: Arnold Layne - 2016 Remastered Version | Pink Floyd
 474: Holiday | Pink Mountaintops
 475: Anna verrà - 2017 Remaster | Pino Daniele
 476: Che male c'è - 2017 Remaster | Pino Daniele
 477: Lazzari felici - Remastered 2017; Remastered | Pino Daniele
 478: Yes I Know My Way - 2017 Remaster | Pino Daniele
 479: Another Sunrise | Planet Funk
 480: Inside All the People | Planet Funk
 481: Lemonade | Planet Funk
 482: The Switch | Planet Funk
 483: Rocks | Primal Scream, George Drakoulias, David Bianco
 484: Play in the Sunshine | Prince
 485: Sign 'O' the Times | Prince
 486: A Whiter Shade of Pale - Original Single Version | Procol Harum
 487: Don't Believe The Hype | Public Enemy
 488: Fight The Power | Public Enemy
 489: This Is Not A Love Song - 2011 - Remaster | Public Image Ltd.
 490: Goodbye Horses | Q Lazzarus
 491: Time Is the Enemy | Quantic
 492: Innuendo - Remastered 2011 | Queen
 493: Radio Ga Ga - Remastered 2011 | Queen
 494: Burn The Witch | Queens of the Stone Age
 495: Make It Wit Chu | Queens of the Stone Age
 496: The Way You Used to Do | Queens of the Stone Age
 497: Turnin On The Screw | Queens of the Stone Age
 498: High And Dry | Radiohead
 499: Street Spirit (Fade Out) | Radiohead
 500: My Iron Lung | Radiohead
 501: Black Betty | Ram Jam
 502: Sonne | Rammstein
 503: Pet Sematary | Ramones
 504: Baby Appeal - 2002 Digital Remaster | Red Hot Chili Peppers
 505: Dani California | Red Hot Chili Peppers
 506: Freaky Styley - Remastered | Red Hot Chili Peppers
 507: Snow (Hey Oh) | Red Hot Chili Peppers
 508: Soul to Squeeze | Red Hot Chili Peppers
 509: Transcending | Red Hot Chili Peppers
 510: Warped | Red Hot Chili Peppers
 511: Bad Day | R.E.M.
 512: Imitation Of Life | R.E.M.
 513: Nightswimming | R.E.M.
 514: Shiny Happy People | R.E.M.
 515: Tu Vuo Fà L'Americano | Renato Carosone
 516: Margherita | Riccardo Cocciante
 517: Prima di andare via | Riccardo Sinigallia
 518: Berta filava | Rino Gaetano
 519: Ma il cielo è sempre più blu | Rino Gaetano
 520: Nuntereggae più | Rino Gaetano
 521: Angels | Robbie Williams
 522: Millennium | Robbie Williams
 523: Misunderstood | Robbie Williams
 524: I'm Walkin' | Robert Cray
 525: Gattomatto | Roberto Angelini
 526: Another You | Robert Parker, Jono Manson
 527: Lights Out | Royal Blood
 528: Trouble’s Coming | Royal Blood
 529: What Else Is There? | Röyksopp
 530: Oh, Pretty Woman | Roy Orbison
 531: Che vita | Samuele Bersani
 532: Chicco e Spillo | Samuele Bersani
 533: D.A.M.S. | Samuele Bersani
 534: En e Xanax | Samuele Bersani
 535: Freak | Samuele Bersani
 536: Lo scrutatore non votante | Samuele Bersani
 537: Replay | Samuele Bersani
 538: Sicuro precariato | Samuele Bersani
 539: Tutto quello che un uomo | Sergio Cammariere
 540: Ci Vuole Un Fiore | Sergio Endrigo
 541: C'Mon Everybody | Sex Pistols
 542: Don't Give Me No Lip, Child | Sex Pistols
 543: My Way | Sex Pistols
 544: Road Runner | Sex Pistols
 545: Boombastic | Shaggy
 546: Seventeen | Sharon Van Etten
 547: Slide Along Side | Shifty
 548: Heima | Sigur Rós
 549: Inní mér syngur vitleysingur | Sigur Rós
 550: Ísjaki | Sigur Rós
 551: Svefn-g-englar | Sigur Rós
 552: Untitled #1 - Vaka | Sigur Rós
 553: Untitled #4 - Njósnavélin | Sigur Rós
 554: Viðrar vel til loftárása | Sigur Rós
 555: La Fine Della Chemio (feat. Jovanotti, Tre Allegri Ragazzi Morti, Manuel Agnelli, Samuel, Elisa, Meg, Lo Stato Sociale, Pierpaolo Capovilla, Prozac+) | Sick Tamburo, Jovanotti, Tre Allegri Ragazzi Morti, Manuel Agnelli, Samuel, Elisa, Meg, Lo Stato Sociale, Pierpaolo Capovilla, Prozac+
 556: Mrs. Robinson - From "The Graduate" Soundtrack | Simon & Garfunkel
 557: Nothing Compares 2 U | Sinéad O'Connor
 558: Christine | Siouxsie and the Banshees
 559: The Killing Jar | Siouxsie and the Banshees
 560: Secretly | Skunk Anansie
 561: Underwater Love | Smoke City
 562: Rhythm Is A Dancer | SNAP!
 563: The Human Germ | Snog
 564: 100% | Sonic Youth
 565: Brave Men Run (In My Family) | Sonic Youth
 566: Dirty Boots | Sonic Youth
 567: The Good and the Bad | Sonic Youth
 568: Chi Te L'Ha Detto ? | Stadio
 569: Grande figlio di puttana | Stadio
 570: Lunedì cinema | Stadio
 571: Stuck In The Middle With You | Stealers Wheel
 572: It Means Nothing | Stereophonics
 573: Superstition - Single Version | Stevie Wonder
 574: Let Your Soul Be Your Pilot | Sting
 575: Abitudine | Subsonica
 576: Nuova Ossessione | Subsonica
 577: Up Patriots To Arms | Subsonica, Franco Battiato
 578: Still Waiting | Sum 41
 579: Alright | Supergrass
 580: Eye of the Tiger | Survivor
 581: Just Won't Burn | Susan Tedeschi
 582: You Make Me Feel (Mighty Real) | Sylvester
 583: All The Things She Said | t.A.T.u.
 584: Senza parole la bocca | Teho Teardo
 585: You Goin' Miss Your Candyman | Terry Callier
 586: If You’re Too Shy (Let Me Know) | The 1975
 587: The Golden Age | The Asteroids Galaxy Tour
 588: Heroes And Villains - Remastered 2001 | The Beach Boys
 589: Come Together - Remastered | The Beatles
 590: Day Tripper - Remastered 2015 | The Beatles
 591: I Am The Walrus - Remastered | The Beatles
 592: I Want You (She's So Heavy) - Remastered | The Beatles
 593: Magical Mystery Tour - Remastered | The Beatles
 594: Something - Remastered | The Beatles
 595: Psychotic Girl | The Black Keys
 596: Weight of Love | The Black Keys
 597: Let's Go Out Tonight | The Blue Nile
 598: Tinseltown in the Rain | The Blue Nile
 599: An Honest Mistake | The Bravery
 600: Anemone | The Brian Jonestown Massacre
 601: Video Killed The Radio Star | The Buggles
 602: Erase / Rewind | The Cardigans
 603: Moving in Stereo | The Cars
 604: Hey Boy Hey Girl | The Chemical Brothers
 605: Let Forever Be | The Chemical Brothers
 606: Under the Milky Way | The Church
 607: Arrival of the Birds | The Cinematic Orchestra, London Metropolitan Orchestra
 608: Summon The Fire | The Comet Is Coming
 609: Animal Instinct | The Cranberries
 610: Heart Explodes | The Darkness
 611: L.A. Woman | The Doors
 612: Peace Frog | The Doors
 613: Roadhouse Blues | The Doors
 614: The Breakup Song | The Greg Kihn Band
 615: Short Change Hero | The Heavy
 616: Everything's On TV | The Hellacopters
 617: Hate To Say I Told You So | The Hives
 618: Long Cool Woman (In a Black Dress) - 1999 Remaster | The Hollies
 619: Just Like Honey | The Jesus and Mary Chain
 620: Sweet Home Alabama | The King
 621: Louie Louie | The Kingsmen
 622: My Sharona | The Knack
 623: Ho Hey | The Lumineers
 624: School of Rock (Teacher's Pet) | The Original Broadway Cast Of School Of Rock
 625: Flow | The Peak Show
 626: So Lonely | The Police
 627: Timebomb Zone | The Prodigy
 628: Steady, As She Goes | The Raconteurs
 629: Miss You - Remastered | The Rolling Stones
 630: She's A Rainbow - Mono | The Rolling Stones
 631: Start Me Up - Remastered 2009 | The Rolling Stones
 632: Street Fighting Man - 50th Anniversary Edition | The Rolling Stones
 633: Sympathy For The Devil - 50th Anniversary Edition | The Rolling Stones
 634: Wild Horses - 2009 Mix | The Rolling Stones
 635: Try, Try, Try | The Smashing Pumpkins
 636: Death of a Disco Dancer - 2011 Remaster | The Smiths
 637: Hand in Glove - 2011 Remaster | The Smiths
 638: Meat Is Murder - 2011 Remaster | The Smiths
 639: Stop Me If You Think You've Heard This One Before - 2011 Remaster | The Smiths
 640: Suffer Little Children - 2011 Remaster | The Smiths
 641: That Joke Isn't Funny Anymore | The Smiths
 642: The Headmaster Ritual - 2011 Remaster | The Smiths
 643: Love Spreads | The Stone Roses
