Change component parameters: Designator = "D1"; Footprint = "LED-0603"; UniqueID = "\QHQQJWUV"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://www.alliedelec.com/m/d/745256ca487aea7b70ea31e2d673d5bb.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "http://www.onlinecomponents.com/productFiles/mf-DIA/mdei5980603.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "http://www.onlinecomponents.com/productFiles/mf-DIA/mdei5980603.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=146438&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=146438&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "http://www.dialight.com/Assets/Brochures_And_Catalogs/Indication/SMT_selector_guide.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "http://www.dialight.com/Assets/Brochures_And_Catalogs/Indication/SMT_selector_guide.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dominant Wavelength"; Value = "568nm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination Color"; Value = "Green"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "Colorless,Clear"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Flat,Rectangular,Diffused,Colorless,Clear"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Transparency"; Value = "Clear"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Luminous Intensity"; Value = "20mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Dialight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "598-8070-107F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-30°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of LEDs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "60mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.42, 10=0.3, 100=0.1333, 500=0.09332, 1000=0.07666 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "4673"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "350-2035-6-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Current"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "140°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength"; Value = "570nm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Category"; Value = "Diodes"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Color"; Value = "Green"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.mouser.com/ds/2/109/SMT_selector_guide-267443.pdf?src-supplier=Mouser"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.mouser.com/ds/2/109/SMT_selector_guide-267443.pdf?src-supplier=Mouser"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://uk.rs-online.com/webdocs/0ae2/0900766b80ae2975.pdf?src-supplier=RSComponents"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://uk.rs-online.com/webdocs/0ae2/0900766b80ae2975.pdf?src-supplier=RSComponents"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "http://www.farnell.com/datasheets/1720200.pdf?src-supplier=Element14"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.farnell.com/datasheets/1720200.pdf?src-supplier=Element14"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/598_Series_0603_Pkg.pdf?src-supplier=Digi-Key"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/598_Series_0603_Pkg.pdf?src-supplier=Digi-Key"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://www.alliedelec.com/m/d/745256ca487aea7b70ea31e2d673d5bb.pdf?src-supplier=Allied+Electronics"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://www.alliedelec.com/m/d/745256ca487aea7b70ea31e2d673d5bb.pdf?src-supplier=Allied+Electronics"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "http://www.onlinecomponents.com/productFiles/mf-DIA/mdei5980603.pdf?src-supplier=Onlinecomponents.com"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "http://www.onlinecomponents.com/productFiles/mf-DIA/mdei5980603.pdf?src-supplier=Onlinecomponents.com"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=146438&src-supplier=Verical"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=146438&src-supplier=Verical"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "http://www.dialight.com/Assets/Brochures_And_Catalogs/Indication/SMT_selector_guide.pdf?src-supplier=Future+Electronics"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "http://www.dialight.com/Assets/Brochures_And_Catalogs/Indication/SMT_selector_guide.pdf?src-supplier=Future+Electronics"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Dominant Wavelength"; Value = "568nm"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "20mA"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "2V"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Height"; Value = "0.7mm"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Illumination Color"; Value = "Green"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "Colorless,Clear"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "0.8mm"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Flat,Rectangular,Diffused,Colorless,Clear"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Lens Transparency"; Value = "Clear"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Luminous Intensity"; Value = "20mcd"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Dialight"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "598-8070-107F"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100°C"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-30°C"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Number of LEDs"; Value = "1"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "60mW"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.42, 10=0.3, 100=0.1333, 500=0.09332, 1000=0.07666 (USD)"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Reverse Voltage"; Value = "5V"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "4673"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "350-2035-6-ND"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Test Current"; Value = "20mA"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "140°"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Wavelength"; Value = "570nm"; VariantName = "NO LED BRANCHES"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "NO LED BRANCHES"
Change component parameters: Designator = "C1"; Footprint = "CAP-0603"; UniqueID = "\JEHKUYFU"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=58462&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=58462&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/2746054.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/2746054.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=344365&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=344365&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.alliedelec.com/m/d/9bfe7773041ffe9d406e68bc7b377fdd.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.alliedelec.com/m/d/9bfe7773041ffe9d406e68bc7b377fdd.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "0.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104M3RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount,PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.06, 100=0.0267, 500=0.01906, 1000=0.01497 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "15620"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1283-6-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.034inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
